ticker,spot,vol_30d,corr_3m,corr_6m,corr_12m,put_pct_3m,put_pct_6m,put_pct_12m,hedge_cost_3m,hedge_cost_6m,hedge_cost_12m,ytd_return,1y_return,score_long,score_short
MAS,69.8000,0.376804,-0.016457,0.032992,0.080213,0.094581,0.127015,0.166341,23645.28,31753.75,41585.33,0.087309,-0.072367,0.318551,0.356263
CAKE,62.9500,0.390211,-0.016118,-0.013704,0.057199,0.098139,0.131896,0.172920,24534.72,32974.09,43230.10,0.192009,0.876903,0.317073,0.336342
AVTR,8.8100,0.540337,-0.016001,-0.008326,-0.007927,0.136811,0.184344,0.242493,34202.86,46086.05,60623.21,-0.231239,-0.648022,0.204690,0.212606
GTLB,26.1900,0.734601,0.015601,0.012277,0.030591,0.184510,0.247796,0.324395,46127.43,61948.98,81098.80,-0.276119,-0.648315,0.040594,0.078196
BROS,53.2400,0.543639,0.015420,0.031637,0.099759,0.137642,0.185460,0.243954,34410.53,46365.03,60988.41,-0.143501,0.744430,0.177505,0.234658
VXF,218.0200,0.182889,-0.014951,0.034728,0.069838,0.041209,0.052880,0.064891,10302.29,13220.10,16222.77,0.030194,0.301478,0.382887,0.379797
APPF,180.6000,0.536455,-0.014327,0.013952,0.093049,0.135834,0.183030,0.240772,33958.45,45757.57,60192.98,-0.216044,-0.243560,0.193851,0.229483
DBC,25.8100,0.247339,-0.013650,-0.078068,-0.051512,0.059038,0.077628,0.098655,14759.43,19407.01,24663.84,0.152747,0.267612,0.410653,0.350105
COMT,29.0800,0.239405,-0.013231,-0.067741,-0.032398,0.056835,0.074560,0.094446,14208.73,18640.10,23611.42,0.168435,0.275215,0.407218,0.353801
NET,181.0200,0.776276,0.013033,0.025855,0.050594,0.194455,0.260870,0.340980,48613.64,65217.42,85245.10,-0.076523,0.794409,0.005612,0.050004
MKTX,192.0500,0.283285,-0.012058,0.024287,0.022032,0.069038,0.091579,0.117864,17259.52,22894.87,29465.93,0.080350,-0.078897,0.386925,0.372588
SOFI,18.3900,0.512445,0.012014,0.077980,0.089050,0.129764,0.174860,0.230047,32441.00,43715.00,57511.76,-0.330299,1.143357,0.196770,0.263981
RRX,222.0600,0.500459,-0.008285,0.066001,0.083146,0.126718,0.170751,0.224638,31679.51,42687.87,56159.58,0.519918,0.316359,0.213596,0.265883
BTBT,1.7700,0.930722,-0.008161,-0.036370,-0.081238,0.230495,0.307803,0.399680,57623.72,76950.85,99919.89,-0.132353,-0.294821,0.015619,-0.015619
ALB,178.1800,0.677906,0.007367,0.019471,0.027177,0.170823,0.229717,0.301296,42705.82,57429.15,75324.09,0.237963,0.386639,0.085123,0.120083
GDX,115.3400,0.656209,-0.007139,0.001192,-0.025800,0.165537,0.222706,0.292289,41384.15,55676.51,73072.15,0.345387,3.122820,0.113397,0.125025
XLU,47.3700,0.153480,0.006943,-0.043410,0.032158,0.033147,0.041775,0.049948,8286.63,10443.81,12487.08,0.097036,0.601988,0.393232,0.370112
DIA,489.1800,0.136876,-0.006682,0.044991,0.078603,0.028628,0.035591,0.041719,7157.00,8897.71,10429.81,0.013098,0.294103,0.378870,0.384747
AWI,171.9900,0.369464,0.006230,0.039150,0.076074,0.092624,0.124325,0.162706,23156.01,31081.21,40676.60,-0.126289,0.435172,0.318241,0.368316
HLI,163.6400,0.300730,0.005218,0.019975,0.057529,0.073901,0.098377,0.127254,18475.37,24594.25,31813.60,-0.072020,0.331839,0.378802,0.379493
NVST,29.4400,0.564256,0.004511,0.015734,0.080035,0.142812,0.192396,0.253016,35702.94,48099.01,63254.07,0.357308,0.418795,0.168589,0.211571
SLV,81.5700,1.330014,-0.004290,-0.005493,-0.015950,0.318097,0.418838,0.532782,79524.20,104709.50,133195.62,0.240608,2.731473,0.003491,-0.003491
